	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
32	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_13_	101	1	4	2	span1_length	13.0
33	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_14_	34	0	1	1	span1_length	14.0
34	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_15_	17	0	0	1	span1_length	15.0
35	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_16_	33	1	2	0	span1_length	16.0
36	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_18_	17	0	0	1	span1_length	18.0
37	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_19_	49	2	2	1	span1_length	19.0
38	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_span1_length_22_	17	0	1	0	span1_length	22.0
39	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	CARDINAL	18427	207	65	1655		
40	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	DATE	17085	61	76	3132		
41	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	EVENT	20153	22	82	97		
42	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	FAC	20187	34	77	56		
43	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	GPE	16571	134	325	3324		
44	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LANGUAGE	20312	7	20	15		
45	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LAW	20285	4	12	53		
46	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LOC	19987	51	109	207		
47	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	MONEY	19468	33	178	675		
48	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	NORP	19021	56	73	1204		
49	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORDINAL	20014	5	8	327		
50	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORG	16300	256	567	3231		
51	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERCENT	19698	0	4	652		
52	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERSON	16663	528	320	2843		
53	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PRODUCT	20129	11	175	39		
54	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	QUANTITY	20159	5	41	149		
55	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	TIME	19976	17	20	341		
56	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	WORK_OF_ART	20108	44	148	54		
57	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_macro_avg_	344543	1475	2300	18054		
58	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_micro_avg_	344543	1475	2300	18054		
59	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_1_	140989	417	547	7771	span1_length	1.0
60	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_2_	72352	374	645	3633	span1_length	2.0
61	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_3_	53283	386	594	2563	span1_length	3.0
62	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_4_	40072	150	237	2129	span1_length	4.0
63	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_5_	21216	68	137	1115	span1_length	5.0
64	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_6_	8776	47	75	444	span1_length	6.0
65	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_7_	3760	14	27	195	span1_length	7.0
66	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_8_	2047	10	15	106	span1_length	8.0
67	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_9_	660	3	4	35	span1_length	9.0
68	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_10_	524	3	8	23	span1_length	10.0
69	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_11_	439	3	7	19	span1_length	11.0
70	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_12_	85	0	0	5	span1_length	12.0
71	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_13_	68	0	3	1	span1_length	13.0
72	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_14_	85	0	1	4	span1_length	14.0
73	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_15_	51	0	0	3	span1_length	15.0
74	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_16_	34	0	0	2	span1_length	16.0
75	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_18_	85	0	0	5	span1_length	18.0
76	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_span1_length_21_	17	0	0	1	span1_length	21.0
77	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	CARDINAL	11547	34	24	981		
78	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	DATE	10761	38	12	1775		
79	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	EVENT	12497	4	19	66		
80	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	FAC	12421	16	44	105		
81	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	GPE	9984	56	102	2444		
