	run	task	split	label	fn_count	fp_count	tn_count	tp_count	stratifier	stratum_key
48	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	awareness	49	58	619	329		
49	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	change_of_location	44	10	987	14		
50	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	change_of_state	144	129	530	252		
51	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	changes_possession	52	3	972	28		
52	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	created	56	17	967	15		
53	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	destroyed	24	0	1029	2		
54	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	existed_after	89	146	161	659		
55	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	existed_before	113	129	223	590		
56	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	existed_during	19	81	65	890		
57	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	exists_as_physical	67	77	677	234		
58	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	instigation	100	92	596	267		
59	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	location_of_event	81	2	962	10		
60	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	makes_physical_contact	77	20	919	39		
61	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	manipulated_by_another	113	110	335	497		
62	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	predicate_changed_argument	146	127	532	250		
63	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	sentient	26	43	798	188		
64	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	stationary	20	3	1027	5		
65	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	volition	60	76	632	287		
66	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_macro_avg_	1280	1123	12031	4556		
67	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_micro_avg_	1280	1123	12031	4556		
68	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_0_	484	379	4365	1936	span_distance	0.0
69	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_1_	253	203	2240	796	span_distance	1.0
70	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_2_	77	117	1021	279	span_distance	2.0
71	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_3_	124	94	1005	307	span_distance	3.0
72	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_4_	59	71	671	207	span_distance	4.0
73	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_5_	39	47	472	162	span_distance	5.0
74	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_6_	60	49	438	137	span_distance	6.0
75	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_7_	26	36	236	80	span_distance	7.0
76	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_8_	38	12	225	103	span_distance	8.0
77	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_9_	17	20	210	77	span_distance	9.0
78	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_10_	9	10	155	60	span_distance	10.0
79	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_11_	14	12	97	39	span_distance	11.0
80	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_12_	16	17	175	62	span_distance	12.0
81	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_13_	7	4	89	62	span_distance	13.0
82	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_14_	7	8	107	40	span_distance	14.0
83	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_15_	8	12	146	50	span_distance	15.0
84	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_16_	3	1	39	11	span_distance	16.0
85	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_17_	2	3	37	12	span_distance	17.0
86	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_18_	5	8	57	20	span_distance	18.0
87	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_19_	9	0	26	19	span_distance	19.0
88	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_20_	6	6	40	20	span_distance	20.0
89	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_21_	6	0	46	20	span_distance	21.0
90	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_22_	1	3	11	3	span_distance	22.0
91	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_24_	2	0	8	8	span_distance	24.0
92	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_26_	0	0	8	10	span_distance	26.0
93	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_27_	2	2	25	7	span_distance	27.0
94	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_28_	1	0	8	9	span_distance	28.0
95	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_29_	1	1	12	4	span_distance	29.0
96	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_30_	2	1	27	6	span_distance	30.0
97	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_31_	0	0	16	2	span_distance	31.0
98	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	test	_span_distance_33_	2	7	19	8	span_distance	33.0
99	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	awareness	31	37	644	359		
100	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	change_of_location	36	28	988	19		
101	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	change_of_state	120	101	574	276		
102	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	changes_possession	41	13	984	33		
103	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	created	44	25	973	29		
104	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	destroyed	36	3	1028	4		
105	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	existed_after	91	128	214	638		
106	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	existed_before	90	73	299	609		
107	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	existed_during	29	105	87	850		
108	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	exists_as_physical	55	44	665	307		
109	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	instigation	50	51	644	326		
110	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	location_of_event	52	24	965	30		
111	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	makes_physical_contact	58	46	875	92		
112	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	manipulated_by_another	66	101	364	540		
113	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	predicate_changed_argument	129	91	580	271		
114	../../jiant_outputs/bert-base-uncased-mix_10-edges-spr1/run	edges-spr1	val	sentient	17	15	812	227		
