	run	task	split	label	fn_count	fp_count	tn_count	tp_count	stratifier	stratum_key
39	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_35_	5	5	80	80	span_distance	35.0
40	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_36_	14	14	67	67	span_distance	36.0
41	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_37_	8	8	69	69	span_distance	37.0
42	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_38_	11	11	60	60	span_distance	38.0
43	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_39_	9	9	47	47	span_distance	39.0
44	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_40_	10	10	71	71	span_distance	40.0
45	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_41_	5	5	47	47	span_distance	41.0
46	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_42_	4	4	42	42	span_distance	42.0
47	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_43_	4	4	44	44	span_distance	43.0
48	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_44_	1	1	38	38	span_distance	44.0
49	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_45_	4	4	30	30	span_distance	45.0
50	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_46_	2	2	17	17	span_distance	46.0
51	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_47_	6	6	27	27	span_distance	47.0
52	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_48_	4	4	19	19	span_distance	48.0
53	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_49_	2	2	22	22	span_distance	49.0
54	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_50_	3	3	23	23	span_distance	50.0
55	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_51_	1	1	17	17	span_distance	51.0
56	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_52_	3	3	21	21	span_distance	52.0
57	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_53_	2	2	11	11	span_distance	53.0
58	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_54_	2	2	13	13	span_distance	54.0
59	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_55_	0	0	11	11	span_distance	55.0
60	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_56_	2	2	15	15	span_distance	56.0
61	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_57_	1	1	8	8	span_distance	57.0
