	run	task	split	label	tn_count	fp_count	fn_count	tp_count
45	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LANGUAGE	12563	1	9	13
46	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LAW	12538	4	11	33
47	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LOC	12338	33	36	179
48	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	MONEY	12228	3	3	352
49	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	NORP	11566	30	17	973
50	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORDINAL	12371	8	3	204
51	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORG	10507	77	106	1896
52	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERCENT	12178	0	0	408
53	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERSON	10392	60	49	2085
54	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PRODUCT	12492	4	24	66
55	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	QUANTITY	12430	3	26	127
56	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	TIME	12340	21	13	212
57	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	WORK_OF_ART	12404	13	52	117
58	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_macro_avg_	213557	405	550	12036
59	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_micro_avg_	213557	405	550	12036
60	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	CARDINAL	18591	43	31	1689
61	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	DATE	17104	42	25	3183
62	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	EVENT	20166	9	58	121
63	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	FAC	20176	45	40	93
64	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	GPE	16605	100	120	3529
65	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LANGUAGE	20313	6	10	25
66	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LAW	20283	6	4	61
67	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LOC	20005	33	64	252
68	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	MONEY	19497	4	10	843
69	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	NORP	19033	44	40	1237
70	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORDINAL	20016	3	16	319
71	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORG	16407	149	250	3548
72	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERCENT	19698	0	3	653
73	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERSON	17049	142	55	3108
74	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PRODUCT	20117	23	108	106
75	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	QUANTITY	20163	1	35	155
76	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	TIME	19972	21	11	350
77	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	WORK_OF_ART	20108	44	71	131
78	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_macro_avg_	345303	715	951	19403
79	../../jiant_outputs/bert-base-uncased-mix_10-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_micro_avg_	345303	715	951	19403
80	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	CARDINAL	11547	34	23	982
81	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	DATE	10762	37	12	1775
82	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	EVENT	12497	4	20	65
83	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	FAC	12421	16	44	105
84	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	GPE	9989	51	104	2442
85	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LANGUAGE	12563	1	9	13
86	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LAW	12538	4	10	34
87	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LOC	12338	33	36	179
88	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	MONEY	12228	3	3	352
89	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	NORP	11568	28	19	971
90	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORDINAL	12371	8	3	204
91	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORG	10494	90	92	1910
92	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERCENT	12178	0	0	408
93	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERSON	10402	50	55	2079
94	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PRODUCT	12491	5	23	67
95	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	QUANTITY	12430	3	26	127
96	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	TIME	12339	22	12	213
97	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	WORK_OF_ART	12405	12	53	116
98	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_macro_avg_	213561	401	544	12042
99	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_micro_avg_	213561	401	544	12042
100	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	CARDINAL	18590	44	29	1691
101	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	DATE	17108	38	25	3183
102	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	EVENT	20167	8	58	121
103	../../jiant_outputs/bert-base-uncased-mix_11-edges-ner-ontonotes/run	edges-ner-ontonotes	val	FAC	20174	47	41	92
