	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
29	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_25_	190	35	35	190	span_distance	25.0
30	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_26_	204	27	27	204	span_distance	26.0
31	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_27_	159	25	25	159	span_distance	27.0
32	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_28_	169	26	26	169	span_distance	28.0
33	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_29_	138	20	20	138	span_distance	29.0
34	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_30_	131	18	18	131	span_distance	30.0
35	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_31_	118	23	23	118	span_distance	31.0
36	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_32_	103	22	22	103	span_distance	32.0
37	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_33_	105	19	19	105	span_distance	33.0
38	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_34_	103	18	19	102	span_distance	34.0
39	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_35_	80	5	5	80	span_distance	35.0
40	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_36_	67	14	14	67	span_distance	36.0
41	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_37_	69	8	8	69	span_distance	37.0
42	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_38_	60	11	11	60	span_distance	38.0
43	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_39_	47	9	9	47	span_distance	39.0
44	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_40_	71	10	10	71	span_distance	40.0
45	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_41_	47	5	5	47	span_distance	41.0
46	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_42_	42	4	4	42	span_distance	42.0
47	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_43_	44	4	4	44	span_distance	43.0
48	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_44_	38	1	1	38	span_distance	44.0
49	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_45_	30	4	4	30	span_distance	45.0
50	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_46_	17	2	2	17	span_distance	46.0
51	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_47_	27	6	6	27	span_distance	47.0
52	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_48_	19	4	4	19	span_distance	48.0
53	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_49_	22	2	2	22	span_distance	49.0
54	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_50_	23	3	3	23	span_distance	50.0
55	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_51_	17	1	1	17	span_distance	51.0
56	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_52_	21	3	3	21	span_distance	52.0
57	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_53_	11	2	2	11	span_distance	53.0
58	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_54_	13	2	2	13	span_distance	54.0
59	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_55_	11	0	0	11	span_distance	55.0
60	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_56_	15	2	2	15	span_distance	56.0
61	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_57_	8	1	1	8	span_distance	57.0
62	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_58_	13	2	2	13	span_distance	58.0
